loan_id,' no_of_dependents',' education',' self_employed',' income_annum',' loan_amount',' loan_term',' cibil_score',' residential_assets_value',' commercial_assets_value',' luxury_assets_value',' bank_asset_value',' loan_status'
2446,0,' Graduate',' Yes',8600000,29400000,16,643,1000000,14100000,33000000,12300000,' Approved'
2010,4,' Graduate',' No',700000,1800000,8,874,1600000,1000000,1300000,300000,' Approved'
823,2,' Graduate',' Yes',8300000,19500000,4,415,2300000,9400000,21700000,8600000,' Rejected'
1386,1,' Not Graduate',' No',1600000,5100000,12,548,2200000,2700000,3600000,800000,' Rejected'
2273,5,' Graduate',' No',8000000,23100000,20,461,5900000,2400000,29300000,7200000,' Rejected'
2081,0,' Graduate',' Yes',1000000,3200000,8,304,500000,600000,3700000,700000,' Rejected'
101,4,' Not Graduate',' No',400000,900000,12,478,700000,100000,1200000,100000,' Rejected'
1303,3,' Not Graduate',' No',7700000,18700000,8,483,15100000,5600000,24600000,10200000,' Rejected'
3294,3,' Not Graduate',' Yes',9400000,32100000,10,617,22700000,5800000,29400000,11400000,' Approved'
3528,0,' Graduate',' No',1800000,6900000,10,853,900000,400000,3700000,1700000,' Rejected'
906,5,' Not Graduate',' No',9700000,37000000,14,459,28700000,17900000,22800000,5600000,' Rejected'
2395,2,' Not Graduate',' Yes',4700000,13700000,6,506,1300000,7900000,16700000,3500000,' Rejected'
1551,2,' Not Graduate',' No',3200000,10500000,12,502,4300000,1500000,10000000,4500000,' Rejected'
1716,4,' Not Graduate',' Yes',4700000,13700000,14,600,12100000,8400000,17700000,5000000,' Approved'
4153,4,' Not Graduate',' No',8100000,19300000,14,821,16500000,8500000,25800000,8300000,' Approved'
79,2,' Not Graduate',' No',8500000,29400000,12,576,17600000,5600000,25200000,9000000,' Approved'
3680,5,' Graduate',' No',6900000,19700000,6,588,9800000,7500000,17100000,7300000,' Approved'
2602,0,' Graduate',' Yes',7000000,21700000,20,498,6600000,5500000,14700000,3900000,' Rejected'
3238,4,' Graduate',' Yes',6900000,20200000,18,438,9600000,6200000,26800000,5700000,' Rejected'
826,4,' Not Graduate',' No',7300000,19800000,8,724,5500000,6000000,29000000,10300000,' Approved'
4119,2,' Graduate',' No',2200000,8300000,6,596,4700000,3000000,8500000,1800000,' Approved'
3688,2,' Not Graduate',' Yes',2100000,4500000,18,591,2500000,500000,5500000,1500000,' Approved'
917,1,' Not Graduate',' No',6900000,26200000,4,534,14500000,11900000,14900000,9400000,' Approved'
4133,2,' Graduate',' Yes',7800000,25400000,10,513,22100000,600000,23500000,9800000,' Rejected'
3537,1,' Not Graduate',' No',6600000,19700000,12,758,16000000,4400000,18800000,9500000,' Approved'
3839,0,' Graduate',' Yes',4500000,12200000,20,311,11200000,5000000,12700000,2400000,' Rejected'
3485,5,' Graduate',' No',7900000,17700000,2,559,19700000,2800000,28900000,5400000,' Approved'
1730,3,' Graduate',' Yes',5800000,16700000,18,633,8100000,8400000,14700000,3700000,' Approved'
3731,5,' Graduate',' No',200000,700000,18,707,-100000,100000,500000,200000,' Approved'
3588,5,' Not Graduate',' Yes',600000,1700000,20,879,1100000,100000,2300000,700000,' Approved'
3317,1,' Not Graduate',' No',2900000,11500000,20,431,3600000,3800000,5900000,3100000,' Rejected'
3995,2,' Not Graduate',' Yes',7000000,22500000,12,632,12500000,4600000,20400000,4900000,' Approved'
3358,2,' Not Graduate',' Yes',3900000,7700000,10,421,9700000,7500000,14100000,2100000,' Rejected'
1534,4,' Not Graduate',' No',2700000,6100000,16,677,100000,3300000,6500000,3800000,' Approved'
864,5,' Graduate',' No',4200000,9200000,12,870,3200000,2400000,12300000,5700000,' Approved'
4175,4,' Not Graduate',' No',4000000,15100000,8,800,8700000,6900000,12200000,4400000,' Approved'
1084,2,' Not Graduate',' No',8600000,21700000,4,429,5500000,10800000,30900000,6000000,' Rejected'
915,2,' Graduate',' No',700000,2000000,8,806,1900000,1100000,2200000,400000,' Approved'
2098,5,' Not Graduate',' No',900000,2800000,16,808,2100000,900000,3100000,800000,' Approved'
4048,3,' Not Graduate',' No',6400000,23000000,8,520,12100000,11400000,16000000,3800000,' Rejected'
1326,5,' Not Graduate',' Yes',7300000,22500000,2,846,9800000,4700000,20300000,5700000,' Approved'
105,5,' Not Graduate',' Yes',6200000,23600000,10,331,18500000,10300000,23800000,8700000,' Rejected'
866,5,' Not Graduate',' Yes',6400000,20300000,16,348,10000000,10900000,20400000,6900000,' Rejected'
25,0,' Not Graduate',' No',4900000,9800000,16,324,3800000,8700000,10000000,3300000,' Rejected'
376,5,' Not Graduate',' Yes',1300000,5000000,10,755,2100000,2200000,4800000,1900000,' Approved'
1325,1,' Not Graduate',' Yes',1300000,5000000,20,423,900000,800000,3900000,1600000,' Rejected'
3071,3,' Graduate',' Yes',9700000,19700000,4,663,16700000,2200000,36200000,5200000,' Approved'
1718,0,' Graduate',' No',9700000,30400000,4,300,17100000,16600000,38100000,9200000,' Approved'
701,0,' Graduate',' Yes',7600000,17900000,16,788,1700000,7800000,27100000,5900000,' Approved'
154,2,' Not Graduate',' No',1300000,4500000,6,415,0,900000,2900000,1200000,' Rejected'
675,0,' Not Graduate',' No',200000,300000,6,472,400000,100000,700000,0,' Rejected'
198,2,' Not Graduate',' No',2800000,6000000,18,816,6300000,4200000,8000000,3400000,' Approved'
672,4,' Graduate',' No',7200000,22900000,18,657,14600000,400000,17400000,8800000,' Approved'
2902,0,' Not Graduate',' Yes',4000000,10300000,4,819,11100000,1200000,15200000,2600000,' Approved'
4211,3,' Not Graduate',' Yes',9200000,35000000,4,716,1100000,10200000,33600000,11400000,' Approved'
139,3,' Not Graduate',' Yes',2900000,8500000,12,564,1000000,3100000,7500000,1800000,' Approved'
1184,4,' Graduate',' No',7100000,19800000,18,530,7100000,3400000,20900000,7100000,' Rejected'
4026,3,' Graduate',' No',1300000,3100000,14,348,1500000,600000,3900000,600000,' Rejected'
408,4,' Not Graduate',' No',900000,3300000,10,649,0,400000,1800000,1200000,' Approved'
2643,3,' Not Graduate',' No',1900000,7400000,18,592,2300000,3000000,6000000,1800000,' Approved'
874,4,' Graduate',' No',9000000,34700000,4,771,4800000,9500000,34100000,7700000,' Approved'
2802,3,' Graduate',' Yes',4400000,10000000,8,875,5900000,5200000,11700000,4100000,' Approved'
1197,3,' Not Graduate',' No',2200000,6400000,20,667,6300000,3900000,8300000,2900000,' Approved'
52,2,' Graduate',' No',8700000,24700000,10,435,6800000,3500000,21800000,11300000,' Rejected'
1427,2,' Graduate',' No',1500000,3300000,18,440,800000,2300000,3000000,1800000,' Rejected'
2970,4,' Graduate',' No',4500000,15800000,14,439,8900000,6900000,15200000,4400000,' Rejected'
3618,0,' Not Graduate',' Yes',2000000,4600000,16,651,2100000,2400000,7200000,1600000,' Approved'
3637,0,' Graduate',' No',6600000,15200000,18,497,1500000,6900000,14500000,9300000,' Rejected'
2635,5,' Graduate',' No',5300000,20500000,16,802,11200000,7100000,21100000,4100000,' Approved'
3930,0,' Not Graduate',' Yes',3900000,14100000,20,811,5700000,3600000,10500000,5300000,' Approved'
1216,5,' Graduate',' Yes',9600000,38000000,10,359,2100000,13600000,38200000,9400000,' Rejected'
3371,5,' Graduate',' Yes',3400000,12800000,10,760,9800000,4300000,11000000,4600000,' Approved'
141,2,' Not Graduate',' Yes',2500000,9400000,10,727,6600000,4100000,9500000,3300000,' Approved'
2122,0,' Not Graduate',' No',6300000,13300000,2,666,8800000,4000000,14200000,4900000,' Approved'
4180,2,' Not Graduate',' No',1900000,4600000,12,587,3000000,1300000,4800000,1100000,' Approved'
1113,1,' Graduate',' No',1600000,6300000,2,721,3000000,600000,5200000,900000,' Approved'
3362,5,' Graduate',' Yes',2600000,5500000,8,676,6700000,800000,7200000,1300000,' Approved'
760,2,' Graduate',' No',9700000,19900000,16,395,2800000,13700000,37000000,10800000,' Rejected'
3632,3,' Graduate',' No',9800000,21000000,12,342,25400000,16600000,26900000,7000000,' Rejected'
2050,5,' Not Graduate',' Yes',9400000,23200000,14,885,16900000,1200000,34900000,4700000,' Approved'
3523,1,' Graduate',' No',2900000,9600000,4,658,8200000,4300000,7000000,2700000,' Approved'
3620,4,' Graduate',' Yes',900000,2800000,2,660,1200000,1400000,2400000,900000,' Approved'
358,2,' Not Graduate',' No',8400000,26300000,4,419,22900000,7900000,29200000,6200000,' Approved'
3427,1,' Graduate',' Yes',8700000,30000000,12,543,21900000,12700000,30600000,12700000,' Rejected'
2489,2,' Graduate',' Yes',2700000,6400000,18,547,5000000,1700000,9200000,1700000,' Rejected'
2081,0,' Graduate',' Yes',1000000,3200000,8,304,500000,600000,3700000,700000,' Rejected'
2979,1,' Not Graduate',' Yes',3600000,13200000,20,546,8900000,3600000,13900000,2900000,' Rejected'
2102,2,' Graduate',' Yes',2900000,7300000,8,394,7700000,2600000,7700000,4000000,' Rejected'
2655,5,' Graduate',' No',5300000,19400000,6,510,14700000,7000000,13600000,3700000,' Rejected'
831,0,' Graduate',' No',7300000,14500000,16,811,1000000,12400000,16100000,9600000,' Approved'
2566,3,' Not Graduate',' Yes',9500000,20100000,2,506,16800000,800000,32700000,11000000,' Rejected'
2138,5,' Not Graduate',' No',1800000,5400000,14,347,3800000,1300000,4900000,1700000,' Rejected'
57,2,' Not Graduate',' No',4300000,10600000,18,431,2100000,1500000,9300000,5200000,' Rejected'
1050,0,' Graduate',' Yes',1000000,3800000,8,553,2500000,1000000,2100000,1300000,' Approved'
1197,3,' Not Graduate',' No',2200000,6400000,20,667,6300000,3900000,8300000,2900000,' Approved'
1915,0,' Not Graduate',' No',500000,1800000,2,651,700000,0,1700000,200000,' Approved'
1836,2,' Not Graduate',' No',4300000,11800000,20,701,11600000,4600000,14200000,3300000,' Approved'
1592,1,' Graduate',' No',9500000,23000000,10,627,28500000,11500000,21700000,9100000,' Approved'
2535,3,' Not Graduate',' No',800000,3000000,14,576,1200000,1300000,2600000,400000,' Approved'
2802,3,' Graduate',' Yes',4400000,10000000,8,875,5900000,5200000,11700000,4100000,' Approved'
2080,3,' Not Graduate',' Yes',8800000,25100000,8,473,17200000,600000,24400000,12400000,' Rejected'
3021,2,' Not Graduate',' Yes',1200000,4500000,10,555,100000,1100000,2700000,1400000,' Approved'
3145,2,' Not Graduate',' Yes',8100000,24700000,6,595,5500000,14300000,27300000,6500000,' Approved'
3755,1,' Graduate',' No',2800000,6900000,14,553,400000,4900000,6800000,4200000,' Approved'
580,1,' Graduate',' No',2900000,10900000,20,445,6600000,2800000,9300000,2600000,' Rejected'
3728,1,' Not Graduate',' Yes',7500000,22500000,14,469,12300000,9600000,16200000,4500000,' Rejected'
3797,2,' Not Graduate',' No',8000000,17800000,20,549,2400000,9700000,27400000,10800000,' Rejected'
2302,4,' Not Graduate',' No',600000,1600000,6,784,300000,100000,1900000,500000,' Approved'
4268,1,' Not Graduate',' No',4100000,12800000,8,780,8200000,700000,14100000,5800000,' Approved'
2888,0,' Graduate',' No',4700000,15200000,10,786,11100000,8000000,9600000,3200000,' Approved'
2424,4,' Graduate',' No',5100000,16100000,14,436,11400000,2700000,13100000,6700000,' Rejected'
3201,3,' Not Graduate',' Yes',8400000,20500000,12,796,22900000,10500000,17600000,11200000,' Approved'
597,3,' Not Graduate',' Yes',6200000,14600000,2,664,18300000,8400000,16800000,6600000,' Approved'
3367,3,' Not Graduate',' Yes',5400000,14300000,4,595,4100000,2800000,19300000,4900000,' Approved'
3291,1,' Graduate',' Yes',5400000,19300000,12,784,5000000,1800000,20300000,6500000,' Approved'
1391,3,' Not Graduate',' Yes',6100000,21300000,2,387,7100000,3100000,16300000,4100000,' Approved'
1472,3,' Not Graduate',' No',6600000,21400000,10,467,15200000,6000000,20300000,5200000,' Rejected'
1232,4,' Graduate',' Yes',1200000,4600000,6,757,1900000,200000,4800000,1500000,' Approved'
1817,5,' Not Graduate',' Yes',8000000,22500000,20,784,7600000,7300000,26000000,10800000,' Approved'
1408,2,' Not Graduate',' Yes',6100000,22300000,10,733,12100000,9700000,17200000,5600000,' Approved'
3493,2,' Not Graduate',' No',9000000,27300000,14,353,22600000,4400000,26900000,7200000,' Rejected'
2782,1,' Graduate',' Yes',3800000,10000000,16,873,5100000,2800000,10300000,4000000,' Approved'
57,2,' Not Graduate',' No',4300000,10600000,18,431,2100000,1500000,9300000,5200000,' Rejected'
1729,3,' Not Graduate',' Yes',700000,1600000,18,303,600000,500000,2000000,600000,' Rejected'
2824,4,' Not Graduate',' Yes',2700000,6800000,10,455,4700000,2600000,7400000,2700000,' Rejected'
279,4,' Not Graduate',' No',2000000,4700000,18,733,3700000,3700000,7000000,2800000,' Approved'
1103,1,' Graduate',' Yes',1600000,4900000,16,487,4300000,1100000,3900000,2000000,' Rejected'
277,4,' Not Graduate',' No',1700000,4000000,6,829,0,1600000,5200000,1700000,' Approved'
1375,4,' Not Graduate',' Yes',5300000,10700000,12,700,15800000,1900000,20500000,2900000,' Approved'
4133,2,' Graduate',' Yes',7800000,25400000,10,513,22100000,600000,23500000,9800000,' Rejected'
1319,3,' Graduate',' No',6400000,24100000,12,571,19000000,11500000,13200000,7500000,' Approved'
250,1,' Not Graduate',' Yes',1900000,5000000,6,560,1000000,1900000,6300000,1400000,' Approved'
1781,5,' Graduate',' Yes',2400000,8200000,10,709,2100000,3700000,8800000,2800000,' Approved'
3984,0,' Graduate',' No',7500000,15900000,2,535,17500000,5700000,23600000,4500000,' Rejected'
2748,1,' Graduate',' Yes',9700000,25500000,18,741,21900000,6200000,34800000,4900000,' Approved'
1225,0,' Graduate',' Yes',9800000,23900000,14,459,1000000,13400000,21100000,7200000,' Rejected'
1415,4,' Not Graduate',' No',1900000,3800000,20,785,1000000,600000,6100000,1500000,' Approved'
1948,2,' Graduate',' Yes',4800000,12900000,8,740,9300000,900000,11000000,3700000,' Approved'
1358,0,' Not Graduate',' No',4700000,15500000,16,311,12800000,200000,17500000,2700000,' Rejected'
1427,2,' Graduate',' No',1500000,3300000,18,440,800000,2300000,3000000,1800000,' Rejected'
1272,5,' Not Graduate',' No',500000,1500000,12,527,100000,600000,1100000,200000,' Rejected'
3161,1,' Graduate',' No',1600000,5400000,4,319,4200000,2200000,4200000,1600000,' Approved'
854,3,' Not Graduate',' No',300000,800000,2,458,500000,0,1100000,200000,' Rejected'
3683,2,' Not Graduate',' No',9300000,32300000,4,586,14300000,6400000,37000000,10400000,' Approved'
2066,4,' Not Graduate',' Yes',9100000,33000000,8,543,15700000,14400000,19500000,11200000,' Rejected'
1238,2,' Not Graduate',' Yes',9500000,37500000,4,456,10200000,16800000,34100000,12900000,' Approved'
2542,3,' Not Graduate',' Yes',8400000,29500000,20,661,14600000,3400000,28900000,10900000,' Approved'
1812,0,' Not Graduate',' No',2500000,6900000,12,471,7100000,4000000,5200000,1500000,' Rejected'
3324,5,' Graduate',' Yes',4400000,11800000,20,634,5900000,7300000,15200000,4300000,' Approved'
2608,4,' Not Graduate',' No',5400000,12600000,18,786,300000,2500000,21000000,6600000,' Approved'
3210,5,' Graduate',' No',700000,1800000,10,650,1300000,100000,1500000,300000,' Approved'
2565,5,' Graduate',' Yes',1100000,3900000,2,538,400000,1300000,4300000,1600000,' Approved'
2523,0,' Not Graduate',' Yes',8200000,28800000,4,619,9000000,1100000,23000000,6300000,' Approved'
1346,1,' Graduate',' No',1200000,3400000,20,717,3100000,1500000,2500000,900000,' Approved'
4113,5,' Graduate',' No',4700000,14400000,16,884,9900000,4400000,9300000,3800000,' Approved'
3728,1,' Not Graduate',' Yes',7500000,22500000,14,469,12300000,9600000,16200000,4500000,' Rejected'
1947,2,' Graduate',' No',8400000,32100000,20,328,16300000,4600000,19500000,8000000,' Rejected'
1197,3,' Not Graduate',' No',2200000,6400000,20,667,6300000,3900000,8300000,2900000,' Approved'
2008,5,' Graduate',' No',7900000,28600000,12,812,12100000,14400000,30000000,11700000,' Approved'
3851,5,' Not Graduate',' Yes',2500000,9400000,16,735,0,2200000,9500000,1700000,' Approved'
2912,3,' Graduate',' No',8900000,21300000,10,467,18700000,2600000,31800000,8800000,' Rejected'
3238,4,' Graduate',' Yes',6900000,20200000,18,438,9600000,6200000,26800000,5700000,' Rejected'
1795,2,' Graduate',' Yes',4100000,13500000,4,846,8900000,7800000,11400000,2400000,' Approved'
2731,2,' Graduate',' Yes',9900000,33400000,14,783,16600000,16100000,21000000,9500000,' Approved'
1138,1,' Graduate',' No',8300000,28900000,12,529,18300000,3900000,32500000,5800000,' Rejected'
2597,0,' Not Graduate',' No',4100000,8800000,18,300,10900000,6400000,8600000,3500000,' Rejected'
1258,3,' Graduate',' No',6200000,21300000,12,655,6500000,11600000,19200000,5000000,' Approved'
1275,1,' Graduate',' No',5000000,18800000,14,325,13100000,5700000,12800000,4300000,' Rejected'
1422,4,' Not Graduate',' No',7100000,14300000,14,537,13700000,10400000,18200000,6100000,' Rejected'
2870,4,' Graduate',' No',9900000,26100000,2,481,14500000,5000000,23600000,9300000,' Rejected'
2657,3,' Not Graduate',' No',3300000,13100000,2,554,6000000,2500000,6700000,3800000,' Approved'
2302,4,' Not Graduate',' No',600000,1600000,6,784,300000,100000,1900000,500000,' Approved'
600,1,' Not Graduate',' Yes',4900000,16800000,12,758,1700000,2700000,11100000,5900000,' Approved'
1845,2,' Graduate',' Yes',8000000,28400000,10,607,11400000,3800000,29000000,11600000,' Approved'
2909,0,' Not Graduate',' No',5700000,21400000,8,340,3200000,1900000,17200000,3800000,' Rejected'
819,2,' Not Graduate',' No',6500000,14100000,2,709,1000000,12700000,20900000,4000000,' Approved'
3147,5,' Graduate',' Yes',4200000,8500000,4,386,8700000,4600000,10500000,6000000,' Rejected'
3216,2,' Graduate',' Yes',4000000,13000000,10,552,3700000,1600000,15600000,3400000,' Approved'
4238,0,' Not Graduate',' No',9100000,30100000,8,322,26200000,9500000,18800000,5900000,' Rejected'
1977,0,' Graduate',' Yes',900000,3500000,6,331,2400000,1400000,3500000,1100000,' Rejected'
2098,5,' Not Graduate',' No',900000,2800000,16,808,2100000,900000,3100000,800000,' Approved'
176,2,' Graduate',' No',1800000,5300000,6,826,4500000,700000,6500000,1300000,' Approved'
712,5,' Graduate',' No',9200000,29200000,16,383,17700000,13300000,30400000,5700000,' Rejected'
584,3,' Not Graduate',' Yes',3600000,13200000,16,557,9800000,4000000,9900000,2100000,' Approved'
1856,2,' Graduate',' No',5600000,19500000,8,429,6100000,2200000,21100000,7200000,' Rejected'
1847,0,' Not Graduate',' No',8500000,17200000,12,624,6500000,8400000,18600000,5100000,' Approved'
2104,5,' Graduate',' Yes',4100000,10100000,4,792,4400000,6100000,8600000,4900000,' Approved'
3201,3,' Not Graduate',' Yes',8400000,20500000,12,796,22900000,10500000,17600000,11200000,' Approved'
3908,3,' Graduate',' Yes',1000000,2600000,6,341,2900000,1700000,3600000,1100000,' Rejected'
1573,3,' Graduate',' No',5000000,16200000,8,591,1900000,3400000,14000000,5000000,' Approved'
2514,0,' Not Graduate',' No',1800000,4200000,6,836,1300000,1900000,6800000,2000000,' Approved'
1027,2,' Not Graduate',' Yes',1900000,7000000,14,818,4800000,3500000,4500000,2100000,' Approved'
1908,2,' Graduate',' No',3200000,6300000,10,339,300000,4900000,7300000,2700000,' Rejected'
3709,3,' Graduate',' No',6100000,20700000,4,816,14900000,5400000,24200000,5900000,' Approved'
1943,4,' Graduate',' No',8700000,19800000,14,715,13500000,13400000,32000000,8500000,' Approved'
7,5,' Graduate',' No',8700000,33000000,4,678,22500000,14800000,29200000,4300000,' Approved'
4056,0,' Graduate',' No',4900000,16300000,14,479,1600000,6400000,18600000,2700000,' Rejected'
2620,3,' Not Graduate',' No',2700000,10800000,6,480,4400000,0,10300000,3500000,' Rejected'
150,5,' Graduate',' No',2000000,6200000,18,402,4000000,2100000,7200000,1100000,' Rejected'
1465,5,' Graduate',' Yes',4400000,17300000,20,840,3600000,5100000,12900000,2300000,' Approved'
956,1,' Not Graduate',' Yes',500000,1400000,10,883,900000,0,1700000,300000,' Approved'
95,2,' Graduate',' No',1000000,2000000,10,366,1200000,400000,3200000,1300000,' Rejected'
3169,5,' Not Graduate',' No',2400000,7500000,12,357,2600000,2900000,6100000,1300000,' Rejected'
1879,1,' Graduate',' No',2600000,9900000,6,594,2900000,4300000,6700000,2500000,' Approved'
3195,0,' Not Graduate',' No',5000000,10700000,16,726,1600000,1100000,15700000,4800000,' Approved'
1036,2,' Not Graduate',' Yes',3800000,12500000,14,842,3700000,6700000,14600000,5300000,' Approved'
3355,0,' Not Graduate',' No',2200000,8800000,4,437,1600000,2300000,8300000,2000000,' Approved'
2827,4,' Graduate',' No',5200000,12900000,16,819,3400000,4100000,16800000,7500000,' Approved'
3043,3,' Not Graduate',' No',6100000,14800000,10,492,6700000,3500000,17900000,6100000,' Rejected'
1599,5,' Not Graduate',' Yes',3000000,6600000,16,462,5500000,3500000,9100000,3600000,' Rejected'
1801,2,' Graduate',' No',9300000,21200000,2,509,2800000,2600000,35800000,6600000,' Rejected'
1084,2,' Not Graduate',' No',8600000,21700000,4,429,5500000,10800000,30900000,6000000,' Rejected'
840,2,' Not Graduate',' Yes',2000000,6700000,14,638,4900000,200000,4900000,2300000,' Approved'
209,1,' Not Graduate',' Yes',7700000,19100000,10,355,11300000,4900000,21900000,6600000,' Rejected'
2319,2,' Not Graduate',' Yes',9600000,29800000,16,499,28500000,6300000,31800000,7400000,' Rejected'
3439,5,' Not Graduate',' Yes',6800000,19000000,8,865,9500000,7200000,25000000,6300000,' Approved'
801,1,' Graduate',' No',3100000,10600000,14,665,6200000,800000,9500000,3900000,' Approved'
1801,2,' Graduate',' No',9300000,21200000,2,509,2800000,2600000,35800000,6600000,' Rejected'
2122,0,' Not Graduate',' No',6300000,13300000,2,666,8800000,4000000,14200000,4900000,' Approved'
243,5,' Graduate',' No',5700000,12900000,18,807,4100000,900000,18600000,5500000,' Approved'
192,0,' Not Graduate',' No',3000000,6500000,2,612,8800000,3400000,6700000,1700000,' Approved'
973,3,' Graduate',' Yes',4400000,15800000,18,779,7200000,5400000,14900000,3600000,' Approved'
4009,1,' Not Graduate',' No',5300000,17800000,12,889,15300000,500000,14900000,6800000,' Approved'
491,3,' Not Graduate',' No',2900000,8500000,14,834,1200000,4500000,8800000,1800000,' Approved'
3112,5,' Graduate',' Yes',7300000,18700000,16,813,6600000,8200000,20000000,5800000,' Approved'
3938,2,' Not Graduate',' No',9700000,30200000,14,769,23700000,13600000,26400000,7500000,' Approved'
2383,3,' Graduate',' Yes',8700000,33600000,14,314,7700000,10000000,21700000,6200000,' Rejected'
1290,2,' Not Graduate',' No',1500000,4500000,18,428,4500000,1200000,5600000,1100000,' Rejected'
2624,4,' Not Graduate',' Yes',300000,1100000,4,315,700000,100000,900000,100000,' Approved'
195,5,' Not Graduate',' No',6400000,18300000,8,697,10000000,3600000,22500000,3600000,' Approved'
2137,2,' Graduate',' No',7100000,21400000,12,699,11400000,13400000,22600000,4800000,' Approved'
67,3,' Not Graduate',' No',8300000,29100000,10,715,6100000,11900000,24100000,11900000,' Approved'
3667,1,' Not Graduate',' Yes',3800000,11100000,6,760,2100000,1800000,8700000,5700000,' Approved'
4061,3,' Not Graduate',' No',5800000,20600000,20,434,8400000,2700000,22600000,7000000,' Rejected'
2703,5,' Not Graduate',' Yes',9700000,29100000,18,732,4700000,7400000,35600000,12400000,' Approved'
4180,2,' Not Graduate',' No',1900000,4600000,12,587,3000000,1300000,4800000,1100000,' Approved'
1197,3,' Not Graduate',' No',2200000,6400000,20,667,6300000,3900000,8300000,2900000,' Approved'
2965,2,' Not Graduate',' No',3100000,9000000,20,892,5000000,5600000,7100000,4000000,' Approved'
1259,1,' Not Graduate',' Yes',4400000,16600000,18,385,800000,5300000,13400000,5100000,' Rejected'
1270,3,' Graduate',' Yes',3500000,13000000,6,391,6100000,3500000,13300000,4300000,' Rejected'
1921,4,' Not Graduate',' No',500000,1300000,6,809,200000,300000,900000,500000,' Approved'
4211,3,' Not Graduate',' Yes',9200000,35000000,4,716,1100000,10200000,33600000,11400000,' Approved'
670,1,' Graduate',' No',6000000,20100000,6,476,13900000,10000000,15200000,5500000,' Rejected'
1834,1,' Graduate',' No',7700000,27300000,8,509,10100000,2200000,20200000,10800000,' Rejected'
3925,5,' Not Graduate',' No',3200000,9300000,6,656,7000000,3200000,12700000,4200000,' Approved'
2625,4,' Graduate',' No',1800000,4100000,8,777,2200000,2500000,3600000,1900000,' Approved'
2731,2,' Graduate',' Yes',9900000,33400000,14,783,16600000,16100000,21000000,9500000,' Approved'
311,3,' Not Graduate',' No',6400000,24400000,4,483,7800000,2400000,19100000,4500000,' Approved'
181,3,' Not Graduate',' Yes',4500000,17900000,6,787,9800000,3600000,14300000,4200000,' Approved'
2261,4,' Not Graduate',' No',8600000,22600000,14,729,300000,16200000,20500000,11900000,' Approved'
2348,4,' Not Graduate',' No',8100000,28000000,8,663,8800000,11300000,26000000,5500000,' Approved'
2878,0,' Not Graduate',' No',6000000,20600000,12,339,3400000,10700000,17200000,8200000,' Rejected'
3842,5,' Graduate',' Yes',1700000,6500000,14,587,1100000,1000000,6400000,1500000,' Approved'
1863,2,' Not Graduate',' Yes',200000,600000,8,552,400000,200000,700000,200000,' Approved'
2873,1,' Not Graduate',' No',8100000,25400000,6,477,4500000,13200000,23200000,4400000,' Rejected'
1263,2,' Graduate',' Yes',2200000,7900000,6,659,3400000,1800000,8600000,2400000,' Approved'
2929,5,' Graduate',' Yes',4100000,15500000,10,836,10500000,1100000,15200000,3600000,' Approved'
4042,2,' Graduate',' No',3000000,6500000,4,476,7900000,300000,9400000,1500000,' Rejected'
3294,3,' Not Graduate',' Yes',9400000,32100000,10,617,22700000,5800000,29400000,11400000,' Approved'
3715,2,' Graduate',' No',2900000,10500000,20,708,4200000,600000,7700000,4300000,' Approved'
3998,4,' Graduate',' No',6900000,16500000,8,426,3900000,5200000,18300000,9000000,' Rejected'
829,4,' Not Graduate',' No',6300000,21900000,10,538,9600000,5400000,19300000,7800000,' Rejected'
1305,2,' Graduate',' Yes',9400000,24800000,14,513,24200000,18200000,37200000,7500000,' Rejected'
3027,0,' Graduate',' Yes',2700000,9700000,20,551,1300000,1300000,7100000,1600000,' Approved'
4154,1,' Graduate',' No',7700000,17100000,14,603,11100000,12100000,30300000,7100000,' Approved'
1275,1,' Graduate',' No',5000000,18800000,14,325,13100000,5700000,12800000,4300000,' Rejected'
322,4,' Not Graduate',' Yes',6400000,23500000,2,485,7300000,2700000,23600000,3900000,' Approved'
1507,1,' Not Graduate',' Yes',400000,1300000,18,801,100000,0,1500000,600000,' Approved'
3043,3,' Not Graduate',' No',6100000,14800000,10,492,6700000,3500000,17900000,6100000,' Rejected'
2007,3,' Graduate',' No',8600000,23600000,4,324,13800000,3800000,28500000,4300000,' Rejected'
3631,4,' Graduate',' Yes',2900000,5900000,18,621,200000,3100000,8500000,3500000,' Approved'
1506,3,' Not Graduate',' Yes',5300000,19600000,2,433,14700000,9900000,10800000,3000000,' Approved'
2469,1,' Graduate',' No',2000000,5000000,6,876,500000,2900000,5800000,1500000,' Approved'
3201,3,' Not Graduate',' Yes',8400000,20500000,12,796,22900000,10500000,17600000,11200000,' Approved'
1908,2,' Graduate',' No',3200000,6300000,10,339,300000,4900000,7300000,2700000,' Rejected'
3384,5,' Graduate',' Yes',2400000,6800000,8,464,1900000,1300000,9500000,1900000,' Rejected'
1866,1,' Not Graduate',' No',4500000,12400000,6,504,12000000,3200000,13100000,2200000,' Rejected'
1672,2,' Not Graduate',' No',3900000,14900000,6,415,2200000,4300000,9500000,4600000,' Rejected'
4178,2,' Not Graduate',' No',6900000,16500000,16,785,19600000,8600000,27100000,3600000,' Approved'
3317,1,' Not Graduate',' No',2900000,11500000,20,431,3600000,3800000,5900000,3100000,' Rejected'
