Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
AUDI,'A7 quattro',MID-SIZE,3,6,AM7,Z,10.9,8.2,9.7,29,226
GMC,'YUKON 4WD','SUV - STANDARD',5.3,8,A6,X,15.2,10.8,13.2,21,310
GMC,'SIERRA FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,E,19.7,13.9,17.1,17,284
HYUNDAI,'ELANTRA GT',MID-SIZE,2,4,A6,X,9.8,7.2,8.6,33,198
MAZDA,'MAZDA3 5-DOOR',MID-SIZE,2,4,AS6,X,8,5.9,7.1,40,163
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,21,13.1,17.5,16,408
DODGE,'CHARGER AWD (MDS)',FULL-SIZE,5.7,8,A5,X,16.1,10,13.4,21,313
VOLKSWAGEN,'GOLF ALLTRACK','STATION WAGON - SMALL',1.8,4,AM6,X,10.7,8,9.4,30,220
MERCEDES-BENZ,'AMG E 53 4MATIC+',MID-SIZE,3,6,A9,Z,11.2,8.3,9.9,29,232
GMC,'YUKON FFV','SUV - STANDARD',5.3,8,A6,X,15.1,10.4,13,22,304
JEEP,CHEROKEE,'SUV - SMALL',3.2,6,A9,X,11.4,8.3,10,28,234
CHEVROLET,EQUINOX,'SUV - SMALL',2.4,4,A6,X,10.5,7.3,9.1,31,209
JEEP,'GRAND CHEROKEE 4X4 TRACKHAWK','SUV - STANDARD',6.2,8,A8,Z,20.9,13.8,17.7,16,413
NISSAN,'NV200 CARGO VAN','SPECIAL PURPOSE VEHICLE',2,4,AV,X,9.8,8.8,9.3,30,218
PORSCHE,BOXSTER,TWO-SEATER,2,4,AM7,Z,10.5,8,9.4,30,219
GMC,'Sierra FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15.7,11.9,14,20,329
DODGE,Challenger,MID-SIZE,5.7,8,M6,Z,15.6,10.1,13.1,22,307
CHEVROLET,'CRUZE LIMITED',MID-SIZE,1.8,4,M6,X,9.4,6.6,8.1,35,190
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',2.4,4,AV6,X,9.7,8.1,9,31,207
JEEP,'CHEROKEE FFV','SUV - SMALL',2.4,4,A9,X,11,7.8,9.6,29,225
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',5,8,AS10,E,20.3,14.7,17.8,16,296
CADILLAC,CTS,MID-SIZE,2,4,AS8,Z,11,7.6,9.5,30,221
KIA,'SORENTO AWD','SUV - SMALL',2,4,AS6,X,12.3,9.4,11,26,259
VOLVO,'XC60 T6 AWD','SUV - SMALL',2,4,AS8,Z,11.8,9.1,10.6,27,247
JEEP,'RENEGADE 4X4','SUV - SMALL',2.4,4,A9,X,11.2,8,9.8,29,225
GMC,Sierra,'PICKUP TRUCK - STANDARD',2.7,4,A8,X,11.9,10.3,11.1,25,261
KIA,'FORTE KOUP',COMPACT,2,4,M6,X,10,7.4,8.8,32,206
PORSCHE,'PANAMERA TURBO EXECUTIVE',FULL-SIZE,4,8,AM8,Z,12.8,9.2,11.2,25,261
AUDI,S5,SUBCOMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262
PORSCHE,'911 CARRERA 4',MINICOMPACT,3.4,6,M7,Z,12.3,8.7,10.7,26,251
PORSCHE,'911 CARRERA S',MINICOMPACT,3.8,6,AM7,Z,11.9,8.7,10.5,27,245
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',5,8,AS10,E,20,14.8,17.6,16,293
TOYOTA,86,MINICOMPACT,2,4,AS6,Z,9.9,7.3,8.7,32,204
AUDI,'A4 ALLROAD QUATTRO','STATION WAGON - SMALL',2,4,AS8,Z,11.2,8.4,9.9,28,228
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2,4,AS8,Z,11.3,8,9.8,29,230
BMW,'M235i CABRIOLET',SUBCOMPACT,3,6,AS8,Z,11.6,7.7,9.9,29,232
KIA,'SORENTO AWD FE','SUV - SMALL',3.3,6,AS6,X,13.2,9.3,11.4,25,270
HYUNDAI,'SANTA FE SPORT','SUV - SMALL',2.4,4,AS6,X,11.7,8.7,10.3,27,237
VOLVO,'XC90 AWD','SUV - STANDARD',3.2,6,AS6,X,14.9,10.2,12.8,22,294
HYUNDAI,ACCENT,COMPACT,1.6,4,M6,X,8.7,6.4,7.7,37,177
CHEVROLET,'CRUZE LIMITED ECO',MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,167
TOYOTA,HIGHLANDER,'SUV - SMALL',3.5,6,AS6,X,12.5,9.3,11.1,25,255
HONDA,FIT,'STATION WAGON - SMALL',1.5,4,AV,X,7,5.9,6.5,43,151
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.8,8.8,32,202
DODGE,'CHALLENGER GT AWD FFV',MID-SIZE,3.6,6,A8,X,12.8,8.7,11,26,258
GMC,'YUKON XL','SUV - STANDARD',5.3,8,A6,X,15.1,10.4,13,22,305
HONDA,'CR-V AWD','SUV - SMALL',2.4,4,AV,X,9.5,7.5,8.6,33,202
MINI,'COOPER S CLUBMAN ALL4',MID-SIZE,2,4,M6,Z,11.4,7.8,9.7,29,227
FORD,'Edge AWD','SUV - SMALL',2,4,A8,X,11.4,8.3,10,28,233
MAZDA,'CX-5 4WD','SUV - SMALL',2.5,4,AS6,X,9.9,7.9,9,31,207
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12,AS8,Z,19,12.5,16.1,18,375
MITSUBISHI,LANCER,COMPACT,2.4,4,AV6,X,9.8,7.6,8.8,32,204
MERCEDES-BENZ,'CL 63 AMG',COMPACT,5.5,8,AS7,Z,15.4,11,13.4,21,308
LEXUS,'RX 450h AWD','SUV - STANDARD',3.5,6,AV6,Z,7.5,8.4,7.9,36,185
KIA,'FORTE KOUP',COMPACT,2,4,M6,X,10,7.4,8.8,32,206
NISSAN,Frontier,'PICKUP TRUCK - SMALL',4,6,A5,X,14.7,10.3,12.7,22,299
SCION,tC,COMPACT,2.5,4,M6,X,10.2,7.7,9,31,207
GMC,SIERRA,'PICKUP TRUCK - STANDARD',6.2,8,A8,Z,15.9,11.2,13.8,20,323
JAGUAR,'F-TYPE COUPE',TWO-SEATER,3,6,AS8,Z,11.8,8.4,10.3,27,237
MINI,'COOPER S CLUBMAN',MID-SIZE,2,4,AS8,Z,10,7.2,8.7,32,205
HONDA,'Civic Hatchback Sport',FULL-SIZE,1.5,4,M6,Z,8,6.2,7.2,39,167
PORSCHE,CAYMAN,TWO-SEATER,2,4,AM7,Z,10.5,8,9.4,30,219
KIA,'FORTE KOUP',COMPACT,2,4,M6,X,10,7.4,8.8,32,206
PORSCHE,'911 CARRERA 4 GTS CABRIOLET',MINICOMPACT,3,6,M7,Z,12.9,9.1,11.1,25,260
CHEVROLET,TRAX,'SUV - SMALL',1.4,4,AS6,X,9.4,7.1,8.4,34,193
GMC,'Yukon FFV','SUV - STANDARD',5.3,8,A6,X,15.7,10.5,13.4,21,314
LEXUS,'LS 460 L AWD',MID-SIZE,4.6,8,AS8,Z,15.2,10.2,12.9,22,303
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8,A6,E,20.2,13.6,17.2,16,275
MINI,'COOPER S CLUBMAN',MID-SIZE,2,4,M6,Z,10.8,7.7,9.4,30,220
JEEP,COMPASS,'SUV - SMALL',2,4,AV,X,10.8,8.9,10,28,234
MERCEDES-BENZ,'ML 350 BLUETEC 4MATIC','SUV - STANDARD',3,6,AS7,D,11.8,8.5,10.3,27,278
BUICK,'Envision AWD','SUV - SMALL',2,4,A9,Z,11.7,9.4,10.7,26,250
TOYOTA,'Highlander Hybrid AWD','SUV - STANDARD',2.5,4,AV,X,6.7,6.8,6.7,42,158
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',2.4,4,AV6,X,9.7,8.1,9,31,207
CADILLAC,SRX,'SUV - STANDARD',3.6,6,AS6,X,14.2,9.8,12.3,23,287
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,A6,X,12,9.1,10.7,26,246
TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,X,11.4,7.7,9.7,29,226
TOYOTA,'HIGHLANDER HYBRID AWD','SUV - STANDARD',3.5,6,AV6,X,8,8.6,8.3,34,191
BMW,'435i xDRIVE COUPE',COMPACT,3,6,M6,Z,12.3,8.4,10.5,27,247
TOYOTA,'HIGHLANDER HYBRID AWD','SUV - STANDARD',3.5,6,AV6,X,8,8.6,8.3,34,191
DODGE,'CHALLENGER SRT HELLCAT',MID-SIZE,6.2,8,M6,Z,18.1,11.4,15.1,19,352
MINI,'JOHN COOPER WORKS',SUBCOMPACT,2,4,AS6,Z,9.4,7.5,8.5,33,199
FORD,'F-150 4X4 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',3,6,AS10,D,11.8,9.3,10.7,26,287
BMW,'320i SEDAN',COMPACT,2,4,AS8,Z,10,6.5,8.4,34,193
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,9.5,7.1,8.4,34,198
HYUNDAI,'SONATA SPORT/LIMITED',FULL-SIZE,2.4,4,AS6,X,10,7.2,8.7,32,207
NISSAN,FRONTIER,'PICKUP TRUCK - SMALL',2.5,4,M5,X,12.2,10.4,11.4,25,268
CHEVROLET,Camaro,SUBCOMPACT,3.6,6,M6,X,14.3,8.8,11.8,24,277
KIA,'FORTE 5',FULL-SIZE,2,4,M6,X,9.7,6.9,8.4,34,197
JAGUAR,'F-TYPE CONVERTIBLE',TWO-SEATER,3,6,M6,Z,14.9,9.8,12.6,22,296
KIA,'FORTE 5',FULL-SIZE,2,4,M6,X,9.7,6.9,8.4,34,197
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,9,6.8,8,35,187
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,9.5,7.1,8.4,34,198
FORD,'EDGE AWD','SUV - SMALL',2,4,AS6,X,11.8,8.4,10.3,27,240
MAZDA,'MAZDA6 (i-ELOOP)',MID-SIZE,2.5,4,AS6,X,8.9,6.7,7.9,36,186
JAGUAR,'F-PACE 25t','SUV - SMALL',2,4,AS8,Z,10.7,8.8,9.9,29,227
CHEVROLET,MALIBU,MID-SIZE,2,4,AS8,Z,10.6,7.1,9,31,211
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE I','SUV - SMALL',3.2,6,A9,X,11.6,8.6,10.3,27,241
MERCEDES-BENZ,'SL 550',TWO-SEATER,4.7,8,AS7,Z,13.4,9.6,11.7,24,269
MERCEDES-BENZ,'CLS 400 4MATIC',COMPACT,3,6,AS7,Z,12.2,8.8,10.7,26,252
BMW,'ACTIVEHYBRID 5',MID-SIZE,3,6,AS8,Z,10.6,7.9,9.4,30,216
CHEVROLET,'Camaro SS',SUBCOMPACT,6.2,8,M6,Z,14.9,9.9,12.6,22,296
KIA,RIO,COMPACT,1.6,4,M6,X,8.7,6.4,7.7,37,177
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8,A6,E,20.2,13.6,17.2,16,275
GMC,'SIERRA 4WD FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15,10.7,13.1,22,306
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6,A6,E,18.9,12.9,16.2,17,259
KIA,Soul,'STATION WAGON - SMALL',2,4,M6,X,9.6,7.6,8.7,32,206
FORD,'EDGE AWD','SUV - SMALL',2.7,6,AS6,X,13.8,9.8,12,24,281
MERCEDES-BENZ,'GLA 250 4MATIC','SUV - SMALL',2,4,AS7,Z,9.8,7.4,8.7,32,200
FORD,MUSTANG,SUBCOMPACT,5,8,AS6,X,14.9,9.5,12.4,23,285
DODGE,'CHALLENGER SRT (MDS)',MID-SIZE,6.4,8,A8,Z,15.6,9.6,12.9,22,302
VOLKSWAGEN,'GOLF R',COMPACT,2,4,M6,Z,11.1,8.1,9.8,29,227
LINCOLN,'Continental AWD',FULL-SIZE,3.7,6,AS6,X,14.3,9.7,12.2,23,287
LAMBORGHINI,'Huracan Coupe',TWO-SEATER,5.2,10,AM7,Z,18,12.9,15.7,18,370
HYUNDAI,Veloster,COMPACT,2,4,AS6,X,9.1,7.1,8.2,34,193
KIA,SOUL,'STATION WAGON - SMALL',1.6,4,AS6,X,9.4,7.8,8.7,32,205
FIAT,'500 ABARTH HATCHBACK',MINICOMPACT,1.4,4,A6,X,9.7,7.4,8.7,32,202
BMW,'X6 M','SUV - STANDARD',4.4,8,AS8,Z,16.6,12.1,14.6,19,341
LEXUS,'GS 350 AWD',MID-SIZE,3.5,6,AS6,Z,12.3,9.1,10.9,26,254
INFINITI,'Q50 HYBRID AWD',COMPACT,3.5,6,AS7,Z,9.1,7.7,8.5,33,200
CHEVROLET,'CRUZE LIMITED ECO',MID-SIZE,1.4,4,A6,X,9,6.1,7.7,37,181
JAGUAR,'F-TYPE CONVERTIBLE',TWO-SEATER,3,6,M6,Z,14.9,9.8,12.6,22,296
FORD,MUSTANG,SUBCOMPACT,5,8,AS6,X,14.9,9.5,12.4,23,285
GMC,SIERRA,'PICKUP TRUCK - STANDARD',5.3,8,A6,X,14.6,10.3,12.7,22,292
NISSAN,MICRA,COMPACT,1.6,4,M5,X,8.6,6.6,7.7,37,177
PORSCHE,'911 TARGA 4',MINICOMPACT,3.4,6,M7,Z,12.9,9,11.1,25,255
MAZDA,'CX-5 (Cylinder Deactivation)','SUV - SMALL',2.5,4,AS6,X,9.3,7.6,8.5,33,201
HYUNDAI,Elantra,MID-SIZE,1.6,4,AM7,X,8.9,7,8.1,35,192
HONDA,'Ridgeline AWD','PICKUP TRUCK - STANDARD',3.5,6,AS9,X,12.6,10,11.4,25,269
GMC,'SAVANA 3500 PASSENGER FFV','VAN - PASSENGER',6,8,A6,X,22.2,15.1,19,15,437
JEEP,'RENEGADE 4X4','SUV - SMALL',2.4,4,A9,X,11.2,8,9.8,29,225
BMW,'X4 xDrive30i','SUV - SMALL',2,4,AS8,Z,10.8,8,9.6,29,223
HONDA,HR-V,'SUV - SMALL',1.8,4,M6,X,9.3,7,8.3,34,193
MERCEDES-BENZ,'AMG GLE 43 4MATIC','SUV - STANDARD',3,6,A9,Z,13.6,10.1,12,24,281
NISSAN,'370Z ROADSTER',TWO-SEATER,3.7,6,M6,Z,13.6,9.7,11.8,24,278
MERCEDES-BENZ,'E 400 CABRIOLET',SUBCOMPACT,3,6,AS7,Z,11.5,8.1,10,28,233
GMC,YUKON,'SUV - STANDARD',5.3,8,A6,X,15.1,10.4,13,22,305
AUDI,'A3 CABRIOLET QUATTRO',SUBCOMPACT,2,4,AM6,X,10.8,8,9.5,30,223
AUDI,'RS 5 Sportback',MID-SIZE,2.9,6,AS8,Z,13.5,9,11.5,25,268
GMC,'YUKON 4WD FFV','SUV - STANDARD',5.3,8,A6,E,20.8,14.5,18,16,299
PORSCHE,'911 CARRERA 4 GTS CABRIOLET',MINICOMPACT,3,6,M7,Z,12.9,9.1,11.1,25,260
PORSCHE,'Panamera GTS ST',FULL-SIZE,4,8,AM8,Z,15.7,10.5,13.4,21,313
DODGE,Challenger,MID-SIZE,5.7,8,M6,Z,15.6,10.1,13.1,22,307
PORSCHE,'Macan S','SUV - SMALL',3,6,AM7,Z,12.9,10.2,11.7,24,272
CHEVROLET,'Blazer AWD','SUV - SMALL',3.6,6,A9,X,13.1,9.4,11.4,25,269
FORD,'F-150 4X4 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',3,6,AS10,D,11.8,9.3,10.7,26,287
GMC,YUKON,'SUV - STANDARD',5.3,8,A6,X,15.1,10.4,13,22,305
CHEVROLET,Camaro,SUBCOMPACT,3.6,6,AS8,X,12.3,8.2,10.4,27,246
MINI,'Cooper Countryman ALL4',MID-SIZE,1.5,3,AS8,Z,9.8,7.1,8.6,33,200
SUBARU,'BRZ tS',MINICOMPACT,2,4,M6,Z,11.6,8.6,10.2,28,239
MERCEDES-BENZ,'E 350 4MATIC COUPE',SUBCOMPACT,3.5,6,AS7,Z,11.9,8.5,10.4,27,239
PORSCHE,'911 CARRERA 4 CABRIOLET',MINICOMPACT,3.4,6,M7,Z,12.5,9,10.9,26,257
TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,X,11.4,7.7,9.7,29,226
MERCEDES-BENZ,'C 300 4MATIC FFV',COMPACT,3.5,6,AS7,E,16.4,11.1,14,20,224
DODGE,'Charger SRT Hellcat',FULL-SIZE,6.2,8,A8,Z,17.6,10.7,14.5,19,339
MERCEDES-BENZ,'C 250 COUPE',SUBCOMPACT,1.8,4,AS7,Z,11,7.4,9.4,30,216
VOLKSWAGEN,'TIGUAN 4MOTION','SUV - SMALL',2,4,AS6,Z,12,10,11.1,25,263
PORSCHE,'911 CARRERA 4 CABRIOLET',MINICOMPACT,3,6,AM7,Z,11,8.4,9.8,29,230
AUDI,'A7 quattro',MID-SIZE,3,6,AM7,Z,10.9,8.2,9.7,29,226
RAM,'1500 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,X,13.9,9.5,11.9,24,274
HYUNDAI,'ELANTRA GT',MID-SIZE,2,4,M6,X,9.8,7.2,8.7,32,204
PORSCHE,'911 TURBO S',MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,266
BMW,'X1 xDRIVE35i','SUV - SMALL',3,6,A6,Z,13.2,8.9,11.3,25,260
CHRYSLER,'TOWN & COUNTRY FFV',MINIVAN,3.6,6,A6,X,14.1,9.5,12,24,276
CADILLAC,'CT6 AWD',FULL-SIZE,3.6,6,AS10,X,13,8.8,11.1,25,261
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',3,6,AS6,Z,11.5,8.5,10.2,28,235
VOLVO,'S60 T5 AWD',COMPACT,2.5,5,AS6,X,11.6,8.2,10.1,28,232
MAZDA,'MAZDA6 (SIL)',MID-SIZE,2.5,4,M6,X,9.4,6.4,8.1,35,188
DODGE,'CHALLENGER SRT HELLCAT',MID-SIZE,6.2,8,A8,Z,17.6,10.7,14.5,19,339
MERCEDES-BENZ,'B 250 4MATIC','STATION WAGON - SMALL',2,4,AM7,Z,10.3,7.8,9.1,31,215
CHEVROLET,'Blazer AWD','SUV - SMALL',3.6,6,A9,X,12.7,9.5,11.3,25,265
KIA,'FORTE KOUP',COMPACT,2,4,A6,X,9.6,7,8.4,34,193
JAGUAR,'XE 35t AWD',COMPACT,3,6,AS8,Z,11.8,8.2,10.2,28,238
HONDA,'HR-V AWD','STATION WAGON - SMALL',1.8,4,AV,X,8.9,7.5,8.2,34,194
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',3,6,AS6,Z,11.5,8.4,10.1,28,232
MASERATI,'QUATTROPORTE GTS',FULL-SIZE,3.8,8,AS8,Z,17.5,10.7,14.5,19,334
HONDA,HR-V,'SUV - SMALL',1.8,4,M6,X,9.3,7,8.3,34,193
PORSCHE,'911 CARRERA S CABRIOLET',MINICOMPACT,3,6,M7,Z,12.1,8.3,10.4,27,243
BMW,340i,COMPACT,3,6,M6,Z,11.6,7.8,9.9,29,231
LEXUS,'ES 300h',MID-SIZE,2.5,4,AV6,X,5.8,6.1,5.9,48,139
LAMBORGHINI,'Aventador Coupe',TWO-SEATER,6.5,12,AM7,Z,26.2,15.5,21.4,13,485
AUDI,'A3 CABRIOLET QUATTRO',SUBCOMPACT,2,4,AM6,X,10.8,8,9.5,30,223
CHEVROLET,'SUBURBAN 4WD','SUV - STANDARD',5.3,8,A6,X,15.4,10.8,13.3,21,312
KIA,RIO,COMPACT,1.6,4,M6,X,8.7,6.4,7.7,37,177
AUDI,'TT COUPE QUATTRO',SUBCOMPACT,2,4,AM6,Z,10.4,7.6,9.1,31,209
LEXUS,'NX 200t AWD','SUV - SMALL',2,4,AS6,Z,10.6,8.4,9.6,29,225
MINI,'COOPER CLUBMAN ALL4',MID-SIZE,1.5,3,AS8,Z,10.2,7.8,9.1,31,213
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',2.4,4,AV6,X,9.7,8.1,9,31,207
TOYOTA,'TACOMA 4WD D-CAB OFF-ROAD','PICKUP TRUCK - SMALL',3.5,6,M6,X,13.8,11.7,12.9,22,300
VOLKSWAGEN,'GOLF WAGON TDI (modified)','STATION WAGON - SMALL',2,4,M6,D,8.3,6,7.3,39,196
FORD,'F-150 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',2.7,6,AS6,X,12.4,9.8,11.2,25,263
PORSCHE,'Panamera GTS',FULL-SIZE,4,8,AM8,Z,14.5,10.2,12.6,22,295
TOYOTA,SIENNA,MINIVAN,3.5,6,AS8,X,12.5,8.9,10.9,26,256
MERCEDES-BENZ,'C 300 4MATIC',COMPACT,2,4,AS7,Z,10.1,7.8,9,31,212
LEXUS,'RX 350 AWD','SUV - SMALL',3.5,6,AS8,X,12.2,8.9,10.7,26,251
TOYOTA,'HIGHLANDER HYBRID AWD LE','SUV - STANDARD',3.5,6,AV6,X,8.4,8.3,8.4,34,195
BUICK,LACROSSE,MID-SIZE,3.6,6,AS9,X,11.3,7.9,9.7,29,228
BMW,'X4 M40i','SUV - SMALL',3,6,AS8,Z,12.7,9.1,11.1,25,260
HYUNDAI,Elantra,MID-SIZE,1.6,4,M6,X,10.7,7.8,9.4,30,221
MINI,'John Cooper Works Convertible',MINICOMPACT,2,4,AS6,Z,9.4,7.2,8.4,34,197
LINCOLN,'MKZ AWD',MID-SIZE,3,6,AS6,X,14,9.2,11.8,24,278
MINI,'COOPER 5 DOOR',SUBCOMPACT,1.5,3,AS6,Z,8.5,6.3,7.5,38,172
PORSCHE,'911 TARGA 4',MINICOMPACT,3.4,6,M7,Z,12.9,9,11.1,25,255
BMW,'M235i CABRIOLET',SUBCOMPACT,3,6,M6,Z,12.1,8.4,10.5,27,246
CHEVROLET,'Silverado LD','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15.6,10.9,13.5,21,317
'LAND ROVER',LR4,'SUV - STANDARD',3,6,AS8,Z,16.2,12.1,14.3,20,336
BMW,'X6 M','SUV - STANDARD',4.4,8,A6,Z,18.1,13.7,16.1,18,370
DODGE,'Challenger SRT Hellcat',MID-SIZE,6.2,8,M6,Z,18.1,11.4,15.1,19,352
BMW,'M240i Cabriolet',SUBCOMPACT,3,6,AS8,Z,11.2,7.8,9.7,29,227
CHEVROLET,Blazer,'SUV - SMALL',3.6,6,A9,X,12,9,10.6,27,250
CHEVROLET,Spark,SUBCOMPACT,1.4,4,M5,X,8,6.2,7.2,39,170
FIAT,500X,'SUV - SMALL',1.4,4,M6,X,9.5,7.1,8.4,34,197
TOYOTA,CAMRY,MID-SIZE,2.5,4,AS8,X,8.1,5.7,6.9,41,164
DODGE,'CHALLENGER SRT (MDS)',MID-SIZE,6.4,8,A8,Z,15.7,9.5,12.9,22,302
CHEVROLET,Traverse,'SUV - STANDARD',3.6,6,A9,X,13,8.8,11.1,25,261
JEEP,PATRIOT,'SUV - SMALL',2,4,M5,X,10.2,7.8,9.2,31,212
PORSCHE,'911 GT3RS',TWO-SEATER,4,6,AM7,Z,16.3,11.8,14.3,20,334
INFINITI,'Q50 HYBRID AWD',COMPACT,3.5,6,AS7,Z,9.1,7.7,8.5,33,200
MERCEDES-BENZ,'METRIS CARGO','SPECIAL PURPOSE VEHICLE',2,4,AS7,Z,10.8,9.5,10.2,28,233
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',5,8,AS6,E,22.1,16.7,19.7,14,315
MERCEDES-BENZ,'S 560 4MATIC',FULL-SIZE,4,8,A9,Z,13.5,8.6,11.3,25,265
FORD,'Mustang Convertible',SUBCOMPACT,2.3,4,AS10,X,11.9,8.4,10.4,27,243
PORSCHE,'PANAMERA TURBO S EXECUTIVE',FULL-SIZE,4.8,8,AM7,Z,15.4,9.8,12.9,22,297
CHEVROLET,EQUINOX,'SUV - SMALL',3.6,6,A6,E,18.8,13.1,16.2,17,259
BMW,M3,COMPACT,3,6,M6,Z,13.5,9.3,11.6,24,273
DODGE,'DART FFV',MID-SIZE,2,4,A6,E,14.2,9.8,12.2,23,195
KIA,'Sorento AWD','SUV - SMALL',3.3,6,AS8,X,12.3,9.5,11.1,25,261
HYUNDAI,'SANTA FE','SUV - SMALL',3.3,6,AS6,X,12.9,9.4,11.3,25,265
CHEVROLET,Traverse,'SUV - STANDARD',3.6,6,A9,X,13,8.8,11.1,25,261
DODGE,'CHARGER (MDS)',FULL-SIZE,5.7,8,A8,X,14.8,9.3,12.3,23,289
ROLLS-ROYCE,Ghost,FULL-SIZE,6.6,12,AS8,Z,20.3,13,17,17,397
DODGE,'Durango AWD SRT','SUV - STANDARD',6.4,8,A8,Z,18.3,12.2,15.6,18,363
AUDI,'RS 5 Sportback',MID-SIZE,2.9,6,AS8,Z,13.5,9,11.5,25,268
BMW,'X4 M40i','SUV - SMALL',3,6,AS8,Z,11.9,8.7,10.4,27,245
JEEP,PATRIOT,'SUV - SMALL',2,4,M5,X,10.2,7.8,9.2,31,212
BMW,'430i xDRIVE CABRIOLET',SUBCOMPACT,2,4,AS8,Z,10.7,7.3,9.1,31,214
JAGUAR,'XJR  LWB',FULL-SIZE,5,8,AS8,Z,15.8,10.3,13.3,21,313
CHRYSLER,'200 FFV',MID-SIZE,2.4,4,A9,E,13.6,8.5,11.3,25,181
MINI,'COOPER CONVERTIBLE',MINICOMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179
CHEVROLET,'CRUZE LIMITED ECO',MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,167
GENESIS,'G80 AWD',FULL-SIZE,3.8,6,AS8,X,14.3,9.5,12.1,23,286
INFINITI,'Q50 AWD',MID-SIZE,2,4,AS7,Z,10.7,8.4,9.6,29,226
CHEVROLET,'CAMARO ZL1',COMPACT,6.2,8,M6,Z,16.6,12.4,14.7,19,338
GMC,'YUKON XL','SUV - STANDARD',5.3,8,A6,X,14.9,10.1,12.7,22,292
HONDA,'CIVIC HATCHBACK',FULL-SIZE,1.5,4,M6,X,8,6.2,7.2,39,167
JEEP,COMPASS,'SUV - SMALL',2,4,M5,X,10.2,7.8,9.2,31,212
MITSUBISHI,RVR,'SUV - SMALL',2,4,M5,X,10.3,8.2,9.3,30,216
CHEVROLET,MALIBU,MID-SIZE,1.5,4,A6,X,8.8,6.5,7.8,36,182
PORSCHE,'911 CARRERA S',MINICOMPACT,3.8,6,AM7,Z,11.9,8.7,10.5,27,245
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6,A6,X,14.2,9.4,12.1,23,283
CHEVROLET,'Silverado 4WD','PICKUP TRUCK - STANDARD',5.3,8,A8,X,14.7,10.7,12.9,22,303
TOYOTA,'4Runner 4WD (Part-Time 4WD)','SUV - STANDARD',4,6,AS5,X,14.3,11.9,13.2,21,308
GMC,'TERRAIN AWD','SUV - SMALL',2.4,4,A6,X,11.5,8.2,10,28,235
CHEVROLET,'SONIC 5','STATION WAGON - SMALL',1.8,4,AS6,X,9.6,6.7,8.3,34,195
VOLKSWAGEN,'Atlas 4MOTION','SUV - STANDARD',3.6,6,AS8,X,13.8,10.2,12.2,23,286
TOYOTA,'HIGHLANDER HYBRID AWD LE','SUV - STANDARD',3.5,6,AV6,X,8.4,8.3,8.4,34,195
KIA,'Telluride AWD','SUV - SMALL',3.8,6,AS8,X,12.5,9.6,11.2,25,264
PORSCHE,'CAYENNE TURBO','SUV - STANDARD',4.8,8,A8,Z,16.7,11.2,14.2,20,334
HYUNDAI,SONATA,FULL-SIZE,2.4,4,AS6,X,9.8,6.7,8.4,34,193
FORD,ESCAPE,'SUV - SMALL',2,4,AS6,X,10.9,8,9.6,29,221
